"id","kjonn","aldersgruppe","landsdel","utdanning","venstre_hoyre","parti","tillit_nyheter","unngar_nyheter","ki_bruk","bruker_chatgpt","ki_konsekvenser","ki_eller_journalist","tillit_ki_redaksjoner","eksp_kilde","tillit_bilde"
362,"Mann","55-64","Sør-Østlandet","Universitet/høyskole 1-4 år",5,"Høyre",2,"Ja, noen ganger",5,1,4,4,2,"Gemini",2
363,"Mann","65+","Trøndelag","Grunnskole/videregående",2,"Rødt",3,"Ja, men sjelden",4,1,2,4,3,"Grok",1
364,"Kvinne","25-34","Nord-Norge","Universitet/høyskole 1-4 år",3,"Rødt",3,"Ja, men sjelden",3,1,2,2,2,"Forsker",4
365,"Kvinne","65+","Sør-Østlandet","Universitet/høyskole 5+ år",7,"Høyre",4,"Ja, men sjelden",0,0,4,4,4,"heiVG",2
366,"Kvinne","35-44","Oslo og Akershus","Universitet/høyskole 5+ år",1,"Rødt",4,"Ja, store deler av tiden",2,1,2,1,2,"Gemini",4
367,"Kvinne","45-54","Sør-Østlandet","Universitet/høyskole 1-4 år",6,"Høyre",3,"Ja, noen ganger",0,0,2,2,3,"ChatGPT",2
368,"Kvinne","35-44","Sør-Østlandet","Universitet/høyskole 1-4 år",3,"MDG",4,"Nei, aldri",4,0,3,4,2,"Grok",1
369,"Mann","35-44","Vestlandet","Grunnskole/videregående",8,"Fremskrittspartiet",3,"Ja, noen ganger",3,0,4,4,3,"Gemini",2
370,"Kvinne","25-34","Agder og Rogaland","Universitet/høyskole 5+ år",8,"Høyre",3,"Ja, noen ganger",1,0,2,4,1,"ChatGPT",1
371,"Kvinne","65+","Oslo og Akershus","Universitet/høyskole 1-4 år",0,"Annet parti",3,"Nei, aldri",NA,NA,2,2,2,"Grok",3
372,"Mann","45-54","Oslo og Akershus","Universitet/høyskole 5+ år",10,"Fremskrittspartiet",2,"Ja, store deler av tiden",3,0,5,3,2,"Grok",4
373,"Kvinne","55-64","Agder og Rogaland","Universitet/høyskole 1-4 år",9,"Fremskrittspartiet",1,"Ja, store deler av tiden",5,1,4,4,1,"Gemini",1
374,"Mann","45-54","Vestlandet","Universitet/høyskole 1-4 år",7,"Høyre",3,"Ja, noen ganger",3,1,4,1,2,"Forsker",3
375,"Mann","55-64","Sør-Østlandet","Universitet/høyskole 1-4 år",7,"KrF",2,"Nei, aldri",2,1,4,4,1,"ChatGPT",1
376,"Kvinne","65+","Oslo og Akershus","Universitet/høyskole 1-4 år",7,"Fremskrittspartiet",3,"Ja, noen ganger",0,0,2,2,2,"Grok",1
377,"Kvinne","35-44","Vestlandet","Grunnskole/videregående",3,"Arbeiderpartiet",4,"Nei, aldri",3,1,4,3,3,"Grok",1
378,"Kvinne","18-24","Sør-Østlandet","Universitet/høyskole 1-4 år",2,"SV",4,"Ja, men sjelden",3,1,3,4,3,"ChatGPT",2
379,"Mann","65+","Agder og Rogaland","Universitet/høyskole 5+ år",3,"Høyre",2,"Ja, men sjelden",1,0,3,4,1,"Forsker",NA
380,"Mann","55-64","Agder og Rogaland","Universitet/høyskole 1-4 år",8,"Fremskrittspartiet",3,"Ja, noen ganger",3,1,4,2,3,"Grok",3
381,"Mann","65+","Vestlandet","Universitet/høyskole 1-4 år",7,"Fremskrittspartiet",2,"Ja, store deler av tiden",2,1,4,1,2,"Grok",1
382,"Mann","55-64","Agder og Rogaland","Universitet/høyskole 1-4 år",5,"Fremskrittspartiet",3,"Nei, aldri",3,0,3,1,2,"Forsker",2
383,"Kvinne","45-54","Sør-Østlandet","Universitet/høyskole 1-4 år",2,"Arbeiderpartiet",4,"Nei, aldri",0,0,1,1,4,"ChatGPT",2
384,"Mann","55-64","Oslo og Akershus","Universitet/høyskole 5+ år",8,NA,1,"Ja, noen ganger",1,1,3,4,5,"Forsker",2
385,"Kvinne","35-44","Nord-Norge","Universitet/høyskole 1-4 år",5,"Annet parti",3,"Nei, aldri",0,0,2,2,1,"heiVG",2
386,"Kvinne","65+","Oslo og Akershus","Universitet/høyskole 1-4 år",2,"Rødt",3,"Nei, aldri",2,1,NA,5,1,"heiVG",1
387,"Kvinne","65+","Oslo og Akershus","Universitet/høyskole 5+ år",3,"Arbeiderpartiet",3,"Ja, store deler av tiden",NA,NA,3,4,3,"Grok",NA
388,"Mann","65+","Nord-Norge","Universitet/høyskole 1-4 år",6,"Rødt",2,"Nei, aldri",0,0,1,2,1,"Forsker",2
389,"Kvinne","65+","Oslo og Akershus","Universitet/høyskole 1-4 år",4,"Arbeiderpartiet",4,"Nei, aldri",2,1,4,2,2,"ChatGPT",1
390,"Kvinne","35-44","Trøndelag","Universitet/høyskole 5+ år",4,"MDG",4,"Nei, aldri",5,1,4,5,4,"Forsker",4
391,"Kvinne","25-34","Sør-Østlandet","Grunnskole/videregående",NA,NA,2,"Nei, aldri",3,1,3,4,3,"Gemini",4
392,"Mann","35-44","Oslo og Akershus","Universitet/høyskole 5+ år",8,"Høyre",2,"Ja, noen ganger",5,1,3,4,3,"heiVG",NA
393,"Kvinne","55-64","Agder og Rogaland","Universitet/høyskole 1-4 år",9,"Fremskrittspartiet",3,"Nei, aldri",3,1,3,5,NA,"Gemini",2
394,"Kvinne","25-34","Sør-Østlandet","Universitet/høyskole 1-4 år",4,"KrF",2,"Nei, aldri",5,1,5,4,4,"heiVG",3
395,"Mann","45-54","Oslo og Akershus","Universitet/høyskole 1-4 år",4,NA,4,"Nei, aldri",4,1,4,4,4,"Gemini",2
396,"Kvinne","35-44","Sør-Østlandet","Universitet/høyskole 5+ år",5,"Høyre",3,"Ja, men sjelden",2,1,2,2,1,"Forsker",3
397,"Mann","45-54","Vestlandet","Grunnskole/videregående",5,NA,4,"Ja, men sjelden",3,1,3,3,3,"heiVG",4
398,"Mann","25-34","Nord-Norge","Universitet/høyskole 5+ år",NA,NA,3,"Nei, aldri",3,1,4,2,3,"Grok",4
399,"Kvinne","25-34","Oslo og Akershus","Universitet/høyskole 1-4 år",2,"Rødt",3,"Ja, noen ganger",3,1,3,4,2,"heiVG",1
400,"Mann","45-54","Oslo og Akershus","Universitet/høyskole 5+ år",3,NA,4,"Ja, men sjelden",2,1,4,4,3,"heiVG",3
401,"Mann","65+","Vestlandet","Grunnskole/videregående",6,"Senterpartiet",2,"Ja, noen ganger",0,0,4,2,2,"Grok",2
402,"Mann","25-34","Oslo og Akershus","Universitet/høyskole 5+ år",3,"MDG",3,"Nei, aldri",3,0,2,1,1,"Grok",1
403,"Kvinne","35-44","Agder og Rogaland","Universitet/høyskole 5+ år",4,"Rødt",3,"Ja, men sjelden",2,0,4,3,1,"heiVG",4
404,"Kvinne","35-44","Nord-Norge","Universitet/høyskole 1-4 år",6,"Arbeiderpartiet",4,"Ja, men sjelden",3,1,3,1,2,"ChatGPT",1
405,"Kvinne","35-44","Oslo og Akershus","Universitet/høyskole 1-4 år",3,"SV",3,"Nei, aldri",4,0,3,2,2,"Forsker",2
406,"Kvinne","25-34","Nord-Norge","Universitet/høyskole 1-4 år",6,NA,2,"Ja, noen ganger",3,1,2,3,4,"Grok",2
407,"Kvinne","25-34","Trøndelag","Universitet/høyskole 5+ år",9,"Høyre",4,"Nei, aldri",1,1,4,2,NA,"Grok",2
408,"Kvinne","65+","Oslo og Akershus","Grunnskole/videregående",1,"Rødt",3,"Ja, men sjelden",0,0,2,1,3,"Gemini",1
409,"Kvinne","25-34","Sør-Østlandet","Grunnskole/videregående",NA,NA,3,"Ja, men sjelden",1,1,4,3,4,"Grok",2
410,"Mann","35-44","Oslo og Akershus","Universitet/høyskole 1-4 år",6,NA,1,"Ja, store deler av tiden",3,0,4,NA,2,"Gemini",2
411,"Mann","45-54","Agder og Rogaland","Universitet/høyskole 5+ år",9,"Fremskrittspartiet",3,"Nei, aldri",0,0,2,4,2,"heiVG",3
412,"Mann","25-34","Oslo og Akershus","Universitet/høyskole 5+ år",2,"SV",3,"Ja, men sjelden",1,1,2,1,3,"Forsker",3
413,"Mann","25-34","Oslo og Akershus","Grunnskole/videregående",10,"Fremskrittspartiet",3,"Nei, aldri",3,1,3,2,2,"ChatGPT",3
414,"Mann","55-64","Trøndelag","Universitet/høyskole 5+ år",8,"Fremskrittspartiet",3,"Nei, aldri",3,1,2,2,3,"Gemini",2
415,"Mann","65+","Agder og Rogaland","Grunnskole/videregående",7,"Fremskrittspartiet",4,"Nei, aldri",1,0,2,1,4,"Forsker",1
416,"Kvinne","55-64","Oslo og Akershus","Universitet/høyskole 1-4 år",6,"Høyre",3,"Nei, aldri",2,1,3,4,3,"Forsker",3
417,"Kvinne","45-54","Vestlandet","Universitet/høyskole 5+ år",2,"MDG",4,"Nei, aldri",4,1,4,4,4,"Gemini",2
418,"Mann","65+","Vestlandet","Universitet/høyskole 5+ år",10,"Høyre",3,"Ja, noen ganger",2,0,4,4,3,"heiVG",3
419,"Mann","55-64","Nord-Norge","Universitet/høyskole 1-4 år",5,"Senterpartiet",3,"Nei, aldri",4,1,4,4,3,"Gemini",3
420,"Kvinne","45-54","Oslo og Akershus","Universitet/høyskole 5+ år",7,"Høyre",3,"Ja, noen ganger",5,0,3,4,3,"Grok",3
421,"Kvinne","18-24","Vestlandet","Grunnskole/videregående",3,"Arbeiderpartiet",4,"Nei, aldri",3,1,3,1,4,"heiVG",3
422,"Kvinne","55-64","Oslo og Akershus","Universitet/høyskole 1-4 år",6,"Senterpartiet",2,"Ja, noen ganger",1,0,3,1,4,"Forsker",1
423,"Kvinne","65+","Agder og Rogaland","Grunnskole/videregående",8,"Fremskrittspartiet",3,"Nei, aldri",1,1,4,3,3,"Gemini",1
424,"Kvinne","45-54","Sør-Østlandet","Grunnskole/videregående",4,NA,3,"Ja, men sjelden",0,0,1,1,2,"heiVG",NA
425,"Kvinne","65+","Oslo og Akershus","Universitet/høyskole 1-4 år",7,"Høyre",3,"Nei, aldri",0,0,3,4,3,"heiVG",3
426,"Kvinne","18-24","Vestlandet","Universitet/høyskole 1-4 år",4,"Arbeiderpartiet",4,"Nei, aldri",3,1,4,2,4,"Grok",2
427,"Kvinne","45-54","Agder og Rogaland","Universitet/høyskole 1-4 år",6,"Senterpartiet",3,"Nei, aldri",5,1,4,5,3,"ChatGPT",3
428,"Kvinne","45-54","Oslo og Akershus","Universitet/høyskole 1-4 år",7,"Fremskrittspartiet",3,"Ja, noen ganger",3,1,3,1,2,"Grok",1
429,"Mann","25-34","Sør-Østlandet","Universitet/høyskole 5+ år",3,"Rødt",3,"Nei, aldri",2,1,2,3,3,"Grok",3
430,"Kvinne","25-34","Vestlandet","Universitet/høyskole 5+ år",5,NA,4,"Ja, men sjelden",2,1,3,2,2,"heiVG",3
431,"Mann","45-54","Vestlandet","Grunnskole/videregående",9,"Fremskrittspartiet",2,"Ja, men sjelden",3,1,4,5,4,"Gemini",3
432,"Mann","65+","Sør-Østlandet","Grunnskole/videregående",5,"Senterpartiet",3,"Nei, aldri",2,1,4,4,2,"Forsker",1
433,"Kvinne","45-54","Sør-Østlandet","Universitet/høyskole 1-4 år",3,"Rødt",4,"Nei, aldri",1,1,NA,2,2,"Gemini",1
434,"Kvinne","35-44","Agder og Rogaland","Universitet/høyskole 1-4 år",1,"Rødt",4,"Ja, noen ganger",2,1,4,4,5,"ChatGPT",4
435,"Mann","45-54","Sør-Østlandet","Universitet/høyskole 1-4 år",7,"Fremskrittspartiet",2,"Ja, noen ganger",5,1,5,1,1,"Forsker",5
436,"Kvinne","45-54","Agder og Rogaland","Universitet/høyskole 5+ år",6,NA,3,"Nei, aldri",3,0,1,1,1,"heiVG",2
437,"Kvinne","35-44","Sør-Østlandet","Universitet/høyskole 1-4 år",0,"Rødt",3,"Ja, noen ganger",NA,NA,3,2,NA,"Gemini",2
438,"Mann","45-54","Sør-Østlandet","Universitet/høyskole 1-4 år",10,"Fremskrittspartiet",3,"Nei, aldri",5,1,5,3,3,"Grok",3
439,"Mann","45-54","Oslo og Akershus","Universitet/høyskole 5+ år",7,"Høyre",3,"Nei, aldri",1,0,1,1,2,"ChatGPT",1
440,"Mann","65+","Vestlandet","Universitet/høyskole 1-4 år",5,"Høyre",4,"Ja, store deler av tiden",4,1,4,4,4,"heiVG",4
441,"Mann","55-64","Sør-Østlandet","Universitet/høyskole 1-4 år",6,"Arbeiderpartiet",4,"Nei, aldri",3,1,4,2,3,"Gemini",4
442,"Mann","25-34","Oslo og Akershus","Universitet/høyskole 1-4 år",5,NA,4,"Nei, aldri",0,0,4,4,5,"Gemini",5
443,"Kvinne","25-34","Vestlandet","Universitet/høyskole 5+ år",2,"MDG",4,"Nei, aldri",4,1,4,5,3,"ChatGPT",2
444,"Kvinne","65+","Vestlandet","Universitet/høyskole 5+ år",3,"Rødt",4,"Ja, men sjelden",0,0,2,2,3,"Gemini",2
445,"Kvinne","55-64","Agder og Rogaland","Universitet/høyskole 5+ år",NA,NA,3,"Ja, noen ganger",3,1,4,2,4,"heiVG",2
446,"Kvinne","45-54","Vestlandet","Universitet/høyskole 5+ år",4,"Arbeiderpartiet",4,"Ja, men sjelden",4,1,4,4,4,"ChatGPT",2
447,"Mann","65+","Nord-Norge","Universitet/høyskole 5+ år",3,"SV",2,"Ja, noen ganger",2,1,4,1,NA,"ChatGPT",NA
448,"Mann","35-44","Oslo og Akershus","Grunnskole/videregående",7,"Høyre",2,"Ja, store deler av tiden",4,1,1,3,3,"Forsker",4
449,"Mann","55-64","Agder og Rogaland","Universitet/høyskole 1-4 år",3,"SV",3,"Ja, noen ganger",3,1,4,2,4,"Grok",4
450,"Mann","45-54","Agder og Rogaland","Universitet/høyskole 1-4 år",6,"Arbeiderpartiet",4,"Ja, noen ganger",0,0,4,2,3,"heiVG",3
451,"Mann","35-44","Sør-Østlandet","Universitet/høyskole 1-4 år",2,"MDG",4,"Nei, aldri",5,0,1,1,1,"Gemini",1
452,"Mann","35-44","Vestlandet","Universitet/høyskole 1-4 år",5,"Venstre",3,"Ja, men sjelden",2,1,4,4,3,"Grok",2
453,"Kvinne","65+","Vestlandet","Universitet/høyskole 5+ år",4,"Arbeiderpartiet",4,"Ja, noen ganger",0,0,NA,5,3,"Grok",NA
454,"Kvinne","45-54","Sør-Østlandet","Grunnskole/videregående",2,"Arbeiderpartiet",3,"Nei, aldri",1,1,4,4,2,"Grok",2
455,"Mann","35-44","Trøndelag","Universitet/høyskole 5+ år",5,"Fremskrittspartiet",2,"Nei, aldri",5,1,2,NA,4,"ChatGPT",1
456,"Mann","65+","Oslo og Akershus","Universitet/høyskole 1-4 år",8,"Høyre",3,"Nei, aldri",3,1,3,2,4,"Grok",1
457,"Kvinne","45-54","Vestlandet","Grunnskole/videregående",7,"Høyre",3,"Ja, men sjelden",5,1,3,2,3,"Gemini",2
458,"Kvinne","65+","Oslo og Akershus","Universitet/høyskole 5+ år",4,"Arbeiderpartiet",3,"Ja, noen ganger",2,1,2,1,3,"ChatGPT",1
459,"Kvinne","45-54","Vestlandet","Grunnskole/videregående",7,"Høyre",3,"Nei, aldri",2,1,NA,2,NA,"Gemini",1
460,"Kvinne","45-54","Agder og Rogaland","Universitet/høyskole 1-4 år",0,"Rødt",3,"Nei, aldri",1,0,2,1,2,"Gemini",1
461,"Kvinne","25-34","Agder og Rogaland","Universitet/høyskole 1-4 år",NA,NA,3,NA,3,1,NA,NA,2,"Gemini",2
462,"Mann","25-34","Sør-Østlandet","Grunnskole/videregående",2,"SV",3,"Ja, men sjelden",3,0,4,4,3,"ChatGPT",3
463,"Mann","55-64","Sør-Østlandet","Grunnskole/videregående",6,"Fremskrittspartiet",2,"Ja, men sjelden",4,1,4,4,3,"heiVG",4
464,"Kvinne","25-34","Sør-Østlandet","Universitet/høyskole 1-4 år",5,NA,1,"Ja, store deler av tiden",2,1,1,1,1,"Grok",2
465,"Mann","25-34","Agder og Rogaland","Grunnskole/videregående",9,"Fremskrittspartiet",2,"Ja, noen ganger",3,1,2,1,2,"Gemini",2
466,"Kvinne","65+","Vestlandet","Grunnskole/videregående",9,"Høyre",3,"Ja, noen ganger",4,1,4,4,3,"heiVG",2
467,"Mann","45-54","Agder og Rogaland","Grunnskole/videregående",0,"Rødt",4,"Nei, aldri",0,0,1,2,4,"ChatGPT",NA
468,"Kvinne","45-54","Vestlandet","Universitet/høyskole 1-4 år",0,"Rødt",3,"Ja, store deler av tiden",3,1,2,1,2,"ChatGPT",1
469,"Mann","45-54","Oslo og Akershus","Universitet/høyskole 5+ år",3,"Arbeiderpartiet",4,"Ja, men sjelden",5,0,4,3,3,"Grok",2
470,"Kvinne","65+","Oslo og Akershus","Universitet/høyskole 1-4 år",7,"Fremskrittspartiet",4,"Nei, aldri",3,1,2,4,3,"heiVG",2
471,"Kvinne","45-54","Oslo og Akershus","Universitet/høyskole 1-4 år",NA,NA,3,"Ja, noen ganger",3,0,3,5,3,"ChatGPT",2
472,"Kvinne","55-64","Oslo og Akershus","Grunnskole/videregående",6,"Venstre",3,"Nei, aldri",3,1,4,1,3,"Gemini",2
473,"Kvinne","35-44","Trøndelag","Universitet/høyskole 5+ år",6,NA,4,"Ja, noen ganger",3,1,2,3,4,"Gemini",3
474,"Kvinne","45-54","Sør-Østlandet","Universitet/høyskole 5+ år",5,NA,3,"Nei, aldri",5,1,5,5,4,"Gemini",2
475,"Kvinne","45-54","Oslo og Akershus","Universitet/høyskole 5+ år",5,"Venstre",3,"Nei, aldri",4,1,3,5,3,"ChatGPT",1
476,"Kvinne","35-44","Oslo og Akershus","Universitet/høyskole 1-4 år",4,"Arbeiderpartiet",4,"Ja, noen ganger",0,0,NA,4,5,"heiVG",2
477,"Mann","35-44","Oslo og Akershus","Universitet/høyskole 5+ år",9,"Fremskrittspartiet",2,"Nei, aldri",4,1,3,4,4,"Gemini",4
478,"Kvinne","45-54","Trøndelag","Universitet/høyskole 5+ år",2,"Arbeiderpartiet",4,"Nei, aldri",0,0,1,2,2,"Grok",2
479,"Mann","25-34","Vestlandet","Universitet/høyskole 1-4 år",9,"Fremskrittspartiet",4,"Nei, aldri",3,1,4,5,4,"Forsker",3
480,"Kvinne","35-44","Oslo og Akershus","Universitet/høyskole 5+ år",3,NA,4,"Ja, men sjelden",3,1,NA,4,4,"ChatGPT",NA
481,"Kvinne","45-54","Trøndelag","Universitet/høyskole 1-4 år",5,"Senterpartiet",4,"Nei, aldri",2,1,2,1,3,"Forsker",2
482,"Kvinne","25-34","Vestlandet","Universitet/høyskole 1-4 år",4,"Arbeiderpartiet",2,"Ja, men sjelden",4,1,NA,4,3,"Grok",1
483,"Mann","65+","Sør-Østlandet","Grunnskole/videregående",4,NA,3,"Nei, aldri",1,0,NA,4,3,"Gemini",1
484,"Kvinne","65+","Trøndelag","Universitet/høyskole 1-4 år",5,NA,4,"Ja, men sjelden",0,0,2,1,3,"heiVG",3
485,"Mann","65+","Sør-Østlandet","Grunnskole/videregående",6,"Senterpartiet",1,"Ja, noen ganger",0,0,2,4,1,"Forsker",2
486,"Kvinne","65+","Nord-Norge","Grunnskole/videregående",5,NA,3,"Ja, noen ganger",0,0,4,3,2,"Forsker",2
487,"Kvinne","25-34","Agder og Rogaland","Universitet/høyskole 5+ år",4,"Annet parti",3,"Ja, noen ganger",2,1,2,3,3,"ChatGPT",1
488,"Mann","35-44","Oslo og Akershus","Universitet/høyskole 1-4 år",3,"MDG",4,"Ja, noen ganger",5,1,4,3,3,"ChatGPT",2
489,"Mann","35-44","Sør-Østlandet","Universitet/høyskole 5+ år",5,"MDG",3,"Nei, aldri",5,1,5,5,3,"heiVG",3
490,"Kvinne","65+","Nord-Norge","Universitet/høyskole 5+ år",8,"Fremskrittspartiet",3,"Nei, aldri",3,1,4,2,2,"Grok",1
491,"Mann","65+","Sør-Østlandet","Universitet/høyskole 1-4 år",3,"Arbeiderpartiet",4,"Ja, men sjelden",3,1,2,2,4,"Forsker",1
492,"Kvinne","65+","Sør-Østlandet","Universitet/høyskole 1-4 år",5,"Annet parti",2,"Ja, store deler av tiden",0,0,3,2,1,"Grok",1
493,"Kvinne","45-54","Agder og Rogaland","Universitet/høyskole 5+ år",3,"SV",4,"Nei, aldri",3,0,3,2,4,"Gemini",3
494,"Kvinne","25-34","Vestlandet","Universitet/høyskole 1-4 år",1,"Rødt",4,"Nei, aldri",3,1,3,4,4,"Gemini",2
495,"Mann","55-64","Sør-Østlandet","Universitet/høyskole 5+ år",8,"Høyre",4,"Ja, men sjelden",5,0,4,4,4,"Grok",2
496,"Mann","65+","Vestlandet","Universitet/høyskole 1-4 år",8,"Høyre",3,"Ja, men sjelden",1,0,4,3,3,"Gemini",1
497,"Kvinne","65+","Agder og Rogaland","Universitet/høyskole 1-4 år",3,"SV",4,"Ja, store deler av tiden",0,0,NA,1,3,"Gemini",2
498,"Kvinne","18-24","Agder og Rogaland","Grunnskole/videregående",NA,"Arbeiderpartiet",4,"Nei, aldri",3,1,3,1,2,"ChatGPT",NA
499,"Kvinne","25-34","Oslo og Akershus","Universitet/høyskole 5+ år",2,"Rødt",3,"Ja, store deler av tiden",1,0,2,1,2,"ChatGPT",2
500,"Kvinne","35-44","Agder og Rogaland","Universitet/høyskole 1-4 år",4,"Arbeiderpartiet",4,"Ja, men sjelden",3,1,2,1,4,"ChatGPT",NA
501,"Kvinne","55-64","Oslo og Akershus","Universitet/høyskole 5+ år",4,"Arbeiderpartiet",4,"Ja, men sjelden",2,0,4,2,3,"Gemini",3
502,"Mann","55-64","Agder og Rogaland","Grunnskole/videregående",5,"Senterpartiet",3,"Ja, men sjelden",2,1,1,4,2,"Grok",1
503,"Kvinne","65+","Agder og Rogaland","Universitet/høyskole 1-4 år",5,NA,3,"Ja, store deler av tiden",0,0,2,1,1,"Grok",1
504,"Kvinne","35-44","Agder og Rogaland","Grunnskole/videregående",3,NA,2,"Ja, store deler av tiden",0,0,1,1,1,"Gemini",2
505,"Mann","65+","Trøndelag","Universitet/høyskole 5+ år",5,NA,3,"Nei, aldri",3,0,3,2,2,"Gemini",4
506,"Mann","55-64","Agder og Rogaland","Universitet/høyskole 1-4 år",6,"Fremskrittspartiet",3,"Ja, noen ganger",1,0,1,1,2,"Forsker",4
507,"Kvinne","55-64","Oslo og Akershus","Grunnskole/videregående",3,NA,2,"Ja, store deler av tiden",0,0,2,1,2,"Forsker",2
508,"Mann","65+","Oslo og Akershus","Universitet/høyskole 1-4 år",8,"Fremskrittspartiet",3,"Nei, aldri",0,0,4,4,4,"heiVG",2
509,"Mann","25-34","Oslo og Akershus","Universitet/høyskole 5+ år",2,"MDG",3,"Nei, aldri",4,1,5,5,3,"Grok",1
510,"Kvinne","25-34","Oslo og Akershus","Universitet/høyskole 5+ år",7,NA,3,"Ja, noen ganger",5,0,4,5,3,"Grok",1
511,"Kvinne","65+","Sør-Østlandet","Universitet/høyskole 5+ år",7,"Høyre",4,"Nei, aldri",0,0,3,3,3,"Grok",1
512,"Mann","25-34","Sør-Østlandet","Universitet/høyskole 5+ år",7,"Fremskrittspartiet",3,"Ja, noen ganger",2,1,4,2,4,"Gemini",2
513,"Kvinne","25-34","Agder og Rogaland","Universitet/høyskole 1-4 år",6,"Venstre",3,"Ja, noen ganger",1,0,4,2,3,"Gemini",2
514,"Kvinne","65+","Sør-Østlandet","Universitet/høyskole 1-4 år",5,NA,3,"Nei, aldri",1,0,NA,3,NA,"Gemini",NA
515,"Kvinne","55-64","Oslo og Akershus","Universitet/høyskole 1-4 år",7,"KrF",4,"Ja, men sjelden",3,0,4,5,3,"Gemini",2
516,"Kvinne","45-54","Sør-Østlandet","Grunnskole/videregående",4,"KrF",3,"Ja, store deler av tiden",0,0,1,2,2,"ChatGPT",1
517,"Kvinne","55-64","Oslo og Akershus","Universitet/høyskole 5+ år",3,NA,3,"Ja, men sjelden",2,0,2,2,3,"Grok",2
518,"Mann","35-44","Sør-Østlandet","Universitet/høyskole 1-4 år",5,NA,4,"Ja, noen ganger",4,0,NA,2,3,"heiVG",2
519,"Kvinne","45-54","Oslo og Akershus","Universitet/høyskole 1-4 år",NA,NA,4,"Ja, noen ganger",0,0,2,1,2,"Gemini",NA
520,"Kvinne","65+","Agder og Rogaland","Universitet/høyskole 5+ år",2,"MDG",4,"Ja, noen ganger",3,0,2,2,4,"Grok",1
521,"Mann","65+","Vestlandet","Grunnskole/videregående",5,"Rødt",2,"Ja, noen ganger",4,1,3,1,2,"Grok",2
522,"Kvinne","35-44","Oslo og Akershus","Universitet/høyskole 1-4 år",6,"Arbeiderpartiet",3,"Ja, noen ganger",1,1,4,4,2,"heiVG",2
523,"Mann","35-44","Trøndelag","Universitet/høyskole 5+ år",2,"MDG",2,"Ja, noen ganger",2,1,4,4,3,"heiVG",2
524,"Mann","25-34","Oslo og Akershus","Universitet/høyskole 5+ år",2,"MDG",3,"Ja, noen ganger",0,0,2,1,2,"Forsker",4
525,"Kvinne","25-34","Sør-Østlandet","Universitet/høyskole 1-4 år",3,"Arbeiderpartiet",4,"Ja, noen ganger",2,1,4,2,3,"ChatGPT",2
526,"Kvinne","18-24","Nord-Norge","Grunnskole/videregående",3,"Arbeiderpartiet",3,"Ja, men sjelden",2,1,3,1,3,"Gemini",3
527,"Mann","45-54","Vestlandet","Grunnskole/videregående",5,NA,1,"Ja, noen ganger",0,0,2,2,1,"heiVG",2
528,"Mann","55-64","Sør-Østlandet","Universitet/høyskole 1-4 år",7,"Fremskrittspartiet",4,"Nei, aldri",3,0,3,1,4,"Forsker",3
529,"Kvinne","35-44","Oslo og Akershus","Universitet/høyskole 1-4 år",10,"Fremskrittspartiet",3,"Ja, men sjelden",5,0,4,3,4,"Forsker",4
530,"Mann","25-34","Sør-Østlandet","Universitet/høyskole 5+ år",1,"Rødt",3,"Ja, noen ganger",3,1,1,1,2,"Gemini",1
531,"Kvinne","55-64","Vestlandet","Grunnskole/videregående",NA,NA,3,"Ja, noen ganger",0,0,3,3,3,"Grok",1
532,"Kvinne","25-34","Agder og Rogaland","Universitet/høyskole 1-4 år",6,"Høyre",2,"Nei, aldri",0,0,3,5,3,"heiVG",2
533,"Kvinne","45-54","Vestlandet","Universitet/høyskole 1-4 år",5,"Annet parti",4,"Nei, aldri",1,0,NA,4,3,"Forsker",3
534,"Mann","35-44","Sør-Østlandet","Universitet/høyskole 1-4 år",9,"Fremskrittspartiet",2,"Nei, aldri",3,1,5,5,3,"heiVG",2
535,"Mann","45-54","Nord-Norge","Grunnskole/videregående",5,NA,3,"Nei, aldri",3,0,3,3,3,"heiVG",2
536,"Mann","18-24","Trøndelag","Universitet/høyskole 1-4 år",2,"Rødt",3,"Ja, men sjelden",4,0,2,2,3,"Forsker",4
537,"Kvinne","65+","Vestlandet","Universitet/høyskole 5+ år",7,"Høyre",3,"Ja, men sjelden",3,1,5,5,4,"Grok",3
538,"Mann","25-34","Agder og Rogaland","Universitet/høyskole 1-4 år",5,"Fremskrittspartiet",3,"Ja, men sjelden",4,1,5,3,3,"Gemini",3
539,"Kvinne","25-34","Trøndelag","Grunnskole/videregående",4,"KrF",4,"Nei, aldri",3,1,3,2,3,"Forsker",5
540,"Kvinne","45-54","Oslo og Akershus","Grunnskole/videregående",2,"Arbeiderpartiet",4,"Ja, men sjelden",1,0,3,2,3,"Gemini",3
541,"Mann","45-54","Vestlandet","Grunnskole/videregående",6,NA,2,"Ja, store deler av tiden",3,1,2,2,3,"Forsker",4
542,"Kvinne","18-24","Trøndelag","Grunnskole/videregående",3,"MDG",4,"Ja, men sjelden",3,1,2,1,3,"Forsker",4
543,"Kvinne","25-34","Sør-Østlandet","Universitet/høyskole 1-4 år",2,"SV",3,"Nei, aldri",3,0,2,3,3,"heiVG",NA
544,"Kvinne","55-64","Oslo og Akershus","Universitet/høyskole 1-4 år",3,"Arbeiderpartiet",3,"Ja, noen ganger",3,1,NA,1,2,"Grok",1
